"Measure code","SEX","YES_NO","COUNTRY_REGION","YEAR","VALUE"
"HFA_639","MALE","","SWE","2002","13.40100002"
"HFA_639","MALE","","SWE","2003","15.44699955"
"HFA_639","MALE","","SWE","2004","19.79100037"
"HFA_639","MALE","","SWE","2005","21.98999977"
"HFA_639","MALE","","SWE","2006","20.87100029"
"HFA_639","MALE","","SWE","2007","18.64800072"
"HFA_639","MALE","","SWE","2008","19.54000092"
"HFA_639","MALE","","SWE","2009","26.06900024"
"HFA_639","MALE","","SWE","2010","25.69400024"
"HFA_639","MALE","","SWE","2011","23.1609993"
"HFA_639","MALE","","SWE","2012","24.8560009"
"HFA_639","MALE","","SWE","2013","24.55200005"
"HFA_639","MALE","","SWE","2014","23.95899963"
"HFA_639","MALE","","SWE","2015","21.01000023"
"HFA_639","MALE","","SWE","2016","20.33300018"
"HFA_639","MALE","","SWE","2017","18.7159996"
"HFA_639","MALE","","SWE","2018","18.38800049"
"HFA_639","MALE","","SWE","2019","19.70299911"
"HFA_639","MALE","","TJK","1991","4.53200006"
"HFA_639","MALE","","TJK","1992","5.1079998"
"HFA_639","MALE","","TJK","1993","13.06900024"
"HFA_639","MALE","","TJK","1994","18.05599976"
"HFA_639","MALE","","TJK","1995","20.7859993"
"HFA_639","MALE","","TJK","1996","26.40699959"
"HFA_639","MALE","","TJK","1997","27.17099953"
"HFA_639","MALE","","TJK","1998","31.80400085"
"HFA_639","MALE","","TJK","1999","29.85199928"
"HFA_639","MALE","","TJK","2000","28.20199966"
"HFA_639","MALE","","TJK","2001","27.49600029"
"HFA_639","MALE","","TJK","2002","27.26000023"
"HFA_639","MALE","","TJK","2003","26.68300056"
"HFA_639","MALE","","TJK","2004","25.85499954"
"HFA_639","MALE","","TJK","2005","25.04400063"
"HFA_639","MALE","","TJK","2006","22.86100006"
"HFA_639","MALE","","TJK","2007","21.20100021"
"HFA_639","MALE","","TJK","2008","20.88400078"
"HFA_639","MALE","","TJK","2009","22.07299995"
"HFA_639","MALE","","TJK","2010","22.23999977"
"HFA_639","MALE","","TJK","2011","22.0720005"
"HFA_639","MALE","","TJK","2012","22.34300041"
"HFA_639","MALE","","TJK","2013","22.61800003"
"HFA_639","MALE","","TJK","2014","22.37800026"
"HFA_639","MALE","","TJK","2015","21.89299965"
"HFA_639","MALE","","TJK","2016","21.25"
"HFA_639","MALE","","TJK","2017","20.82900047"
"HFA_639","MALE","","TJK","2018","21.33799934"
"HFA_639","MALE","","TJK","2019","21.73999977"
"HFA_639","MALE","","TKM","1991","3.5150001"
"HFA_639","MALE","","TKM","1992","3.71700001"
"HFA_639","MALE","","TKM","1993","3.90300012"
"HFA_639","MALE","","TKM","1994","10.28199959"
"HFA_639","MALE","","TKM","1995","17.05500031"
"HFA_639","MALE","","TKM","1996","20.69799995"
"HFA_639","MALE","","TKM","1997","21.87599945"
"HFA_639","MALE","","TKM","1998","23.82600021"
"HFA_639","MALE","","TKM","1999","24.49799919"
"HFA_639","MALE","","TKM","2000","22.81100082"
"HFA_639","MALE","","TKM","2001","20.96699905"
"HFA_639","MALE","","TKM","2002","19.7140007"
"HFA_639","MALE","","TKM","2003","18.20499992"
"HFA_639","MALE","","TKM","2004","16.57699966"
"HFA_639","MALE","","TKM","2005","15.05599976"
"HFA_639","MALE","","TKM","2006","13.2329998"
"HFA_639","MALE","","TKM","2007","11.41899967"
"HFA_639","MALE","","TKM","2008","9.71199989"
"HFA_639","MALE","","TKM","2009","9.59200001"
"HFA_639","MALE","","TKM","2010","8.84599972"
"HFA_639","MALE","","TKM","2011","8.7489996"
"HFA_639","MALE","","TKM","2012","8.78299999"
"HFA_639","MALE","","TKM","2013","8.87300014"
"HFA_639","MALE","","TKM","2014","8.75800037"
"HFA_639","MALE","","TKM","2015","8.74699974"
"HFA_639","MALE","","TKM","2016","8.7329998"
"HFA_639","MALE","","TKM","2017","8.58600044"
"HFA_639","MALE","","TKM","2018","8.875"
"HFA_639","MALE","","TKM","2019","9.08199978"
"HFA_639","MALE","","TUR","1991","17.14999962"
"HFA_639","MALE","","TUR","1992","17.5359993"
"HFA_639","MALE","","TUR","1993","18.25499916"
"HFA_639","MALE","","TUR","1994","17.15200043"
"HFA_639","MALE","","TUR","1995","16.5359993"
"HFA_639","MALE","","TUR","1996","14.44499969"
"HFA_639","MALE","","TUR","1997","13.63099957"
"HFA_639","MALE","","TUR","1998","14.47299957"
"HFA_639","MALE","","TUR","1999","15.125"
"HFA_639","MALE","","TUR","2000","13.2159996"
"HFA_639","MALE","","TUR","2001","16.57799911"
"HFA_639","MALE","","TUR","2002","19.63199997"
"HFA_639","MALE","","TUR","2003","20.5909996"
"HFA_639","MALE","","TUR","2004","19.79500008"
"HFA_639","MALE","","TUR","2005","18.88999939"
"HFA_639","MALE","","TUR","2006","15.41699982"
"HFA_639","MALE","","TUR","2007","16.47999954"
"HFA_639","MALE","","TUR","2008","17.62299919"
"HFA_639","MALE","","TUR","2009","22.21999931"
"HFA_639","MALE","","TUR","2010","18.65600014"
"HFA_639","MALE","","TUR","2011","15.11800003"
"HFA_639","MALE","","TUR","2012","14.18700027"
"HFA_639","MALE","","TUR","2013","15.04500008"
"HFA_639","MALE","","TUR","2014","16.22400093"
"HFA_639","MALE","","TUR","2015","16.12299919"
"HFA_639","MALE","","TUR","2016","16.89999962"
"HFA_639","MALE","","TUR","2017","17.31500053"
"HFA_639","MALE","","TUR","2018","17.64299965"
"HFA_639","MALE","","TUR","2019","18.95800018"
"HFA_639","MALE","","UKR","1991","4.76499987"
"HFA_639","MALE","","UKR","1992","4.79699993"
"HFA_639","MALE","","UKR","1993","4.96600008"
"HFA_639","MALE","","UKR","1994","4.98699999"
"HFA_639","MALE","","UKR","1995","11.78299999"
"HFA_639","MALE","","UKR","1996","14.7670002"
"HFA_639","MALE","","UKR","1997","17.05599976"
"HFA_639","MALE","","UKR","1998","21.06399918"
"HFA_639","MALE","","UKR","1999","21.8579998"
"HFA_639","MALE","","UKR","2000","21.53700066"
"HFA_639","MALE","","UKR","2001","20.33699989"
"HFA_639","MALE","","UKR","2002","18.78700066"
"HFA_639","MALE","","UKR","2003","16.91600037"
"HFA_639","MALE","","UKR","2004","15.96700001"
"HFA_639","MALE","","UKR","2005","15.25500011"
"HFA_639","MALE","","UKR","2006","14.23200035"
"HFA_639","MALE","","UKR","2007","13.54699993"
"HFA_639","MALE","","UKR","2008","13.51200008"
"HFA_639","MALE","","UKR","2009","19.85499954"
"HFA_639","MALE","","UKR","2010","17.86800003"
"HFA_639","MALE","","UKR","2011","17.81900024"
"HFA_639","MALE","","UKR","2012","18.18099976"
"HFA_639","MALE","","UKR","2013","18.20299911"
"HFA_639","MALE","","UKR","2014","23.80200005"
"HFA_639","MALE","","UKR","2015","22.9109993"
"HFA_639","MALE","","UKR","2016","24.22400093"
"HFA_639","MALE","","UKR","2017","20.44799995"
"HFA_639","MALE","","UKR","2018","20.71800041"
"HFA_639","MALE","","UKR","2019","20.76099968"
"HFA_639","MALE","","UZB","1991","3.58699989"
"HFA_639","MALE","","UZB","1992","5.51900005"
"HFA_639","MALE","","UZB","1993","8.92099953"
"HFA_639","MALE","","UZB","1994","13.0010004"
"HFA_639","MALE","","UZB","1995","13.70199966"
"HFA_639","MALE","","UZB","1996","18.43899918"
"HFA_639","MALE","","UZB","1997","18.66500092"
"HFA_639","MALE","","UZB","1998","22.62700081"
"HFA_639","MALE","","UZB","1999","22.65099907"
"HFA_639","MALE","","UZB","2000","20.68700027"
"HFA_639","MALE","","UZB","2001","18.80800056"
"HFA_639","MALE","","UZB","2002","17.47299957"
"HFA_639","MALE","","UZB","2003","15.81799984"
"HFA_639","MALE","","UZB","2004","13.7670002"
"HFA_639","MALE","","UZB","2005","11.86299992"
"HFA_639","MALE","","UZB","2006","10.05099964"
"HFA_639","MALE","","UZB","2007","8.57800007"
"HFA_639","MALE","","UZB","2008","8.39799976"
"HFA_639","MALE","","UZB","2009","8.68200016"
"HFA_639","MALE","","UZB","2010","9.26099968"
"HFA_639","MALE","","UZB","2011","8.60200024"
"HFA_639","MALE","","UZB","2012","8.47700024"
"HFA_639","MALE","","UZB","2013","8.51399994"
"HFA_639","MALE","","UZB","2014","8.95800018"
"HFA_639","MALE","","UZB","2015","9.13700008"
"HFA_639","MALE","","UZB","2016","9.23099995"
"HFA_639","MALE","","UZB","2017","9.03899956"
"HFA_639","MALE","","UZB","2018","9.57199955"
"HFA_639","MALE","","UZB","2019","10.13000011"
"HFA_639","MALE","","WHO_EURO","1991","14.23399192"
"HFA_639","MALE","","WHO_EURO","1992","15.09183973"
"HFA_639","MALE","","WHO_EURO","1993","17.55212078"
"HFA_639","MALE","","WHO_EURO","1994","19.0407004"
"HFA_639","MALE","","WHO_EURO","1995","19.40258378"
"HFA_639","MALE","","WHO_EURO","1996","20.11189827"
"HFA_639","MALE","","WHO_EURO","1997","20.30110181"
"HFA_639","MALE","","WHO_EURO","1998","20.63201204"
"HFA_639","MALE","","WHO_EURO","1999","20.15006603"
"HFA_639","MALE","","WHO_EURO","2000","18.77374286"
"HFA_639","MALE","","WHO_EURO","2001","17.85754456"
"HFA_639","MALE","","WHO_EURO","2002","18.14479936"
"HFA_639","MALE","","WHO_EURO","2003","18.59433145"
"HFA_639","MALE","","WHO_EURO","2004","18.6282275"
"HFA_639","MALE","","WHO_EURO","2005","18.13264343"
"HFA_639","MALE","","WHO_EURO","2006","16.96968506"
